review_id,date,rating,sentiment,text,platform
R3090,2025-09-02,4,positive,"Very smooth process, no pressure at all.",Yelp
R3056,2025-09-06,5,positive,Best dealership in Houston.,DealerRater
R3034,2025-09-06,4,positive,Quick and easy. Will come back for my next car.,Google
R3091,2025-09-06,4,positive,"Very smooth process, no pressure at all.",DealerRater
R3092,2025-09-10,4,positive,"Great experience, Marcus was super helpful!",Yelp
R3101,2025-09-11,5,positive,Quick and easy. Will come back for my next car.,Yelp
R3077,2025-09-11,5,positive,Quick and easy. Will come back for my next car.,DealerRater
R3069,2025-09-12,3,neutral,Decent experience overall.,Google
R3116,2025-09-12,1,negative,Felt pressured by the salesperson.,Google
R3098,2025-09-15,5,positive,"Great experience, Marcus was super helpful!",Yelp
R3053,2025-09-16,2,negative,"Price changed last minute, very frustrating.",Google
R3065,2025-09-17,1,negative,Felt pressured by the salesperson.,DealerRater
R3111,2025-09-19,4,positive,Best dealership in Houston.,Yelp
R3003,2025-09-21,2,negative,Waited over an hour with no update.,Google
R3000,2025-09-21,5,positive,Diana helped me find exactly what I wanted.,Yelp
R3117,2025-09-22,5,positive,Best dealership in Houston.,Google
R3011,2025-09-22,5,positive,Quick and easy. Will come back for my next car.,Google
R3106,2025-09-22,4,positive,"Very smooth process, no pressure at all.",Yelp
R3112,2025-09-23,5,positive,Quick and easy. Will come back for my next car.,Google
R3020,2025-09-23,3,neutral,Decent experience overall.,Yelp
R3052,2025-09-24,4,positive,Diana helped me find exactly what I wanted.,DealerRater
R3043,2025-09-25,4,positive,Diana helped me find exactly what I wanted.,DealerRater
R3070,2025-09-28,4,positive,Best dealership in Houston.,Yelp
R3054,2025-09-28,4,positive,Quick and easy. Will come back for my next car.,Google
R3068,2025-09-29,5,positive,"Very smooth process, no pressure at all.",Google
R3049,2025-10-01,5,positive,Quick and easy. Will come back for my next car.,Yelp
R3099,2025-10-01,5,positive,Diana helped me find exactly what I wanted.,Google
R3035,2025-10-03,5,positive,"Very smooth process, no pressure at all.",DealerRater
R3031,2025-10-05,4,positive,Best dealership in Houston.,Yelp
R3039,2025-10-08,5,positive,"Great experience, Marcus was super helpful!",Google
R3118,2025-10-08,4,positive,Quick and easy. Will come back for my next car.,Yelp
R3007,2025-10-13,3,neutral,Decent experience overall.,Google
R3014,2025-10-14,4,positive,Quick and easy. Will come back for my next car.,Google
R3096,2025-10-15,5,positive,Diana helped me find exactly what I wanted.,Yelp
R3083,2025-10-17,4,positive,Best dealership in Houston.,DealerRater
R3066,2025-10-19,3,neutral,Decent experience overall.,DealerRater
R3059,2025-10-19,3,neutral,Decent experience overall.,DealerRater
R3026,2025-10-19,3,neutral,Decent experience overall.,Yelp
